,Gender,EthnicGroup,ParentEduc,LunchType,TestPrep,ParentMaritalStatus,PracticeSport,IsFirstChild,NrSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
922,female,group C,some high school,standard,completed,divorced,sometimes,yes,1,school_bus,05-Oct,69,69,76
923,female,group D,master's degree,free/reduced,completed,single,sometimes,yes,1,private,05-Oct,94,100,100
924,female,group E,bachelor's degree,standard,none,divorced,regularly,no,4,school_bus,05-Oct,97,91,99
925,female,group A,,standard,completed,single,regularly,no,3,,< 5,77,85,85
926,male,group C,some high school,standard,none,divorced,sometimes,no,7,,> 10,70,70,61
927,male,group C,bachelor's degree,standard,none,married,never,yes,5,school_bus,05-Oct,88,79,72
928,female,group C,some high school,free/reduced,none,married,never,no,2,private,05-Oct,60,62,59
929,male,,,free/reduced,,divorced,sometimes,yes,3,,05-Oct,46,39,36
930,male,group C,associate's degree,standard,none,married,never,no,1,school_bus,05-Oct,93,89,82
931,male,group C,some college,standard,none,married,sometimes,no,3,private,05-Oct,76,75,76
932,female,group D,some high school,free/reduced,none,divorced,sometimes,no,7,school_bus,< 5,70,83,76
933,female,group A,bachelor's degree,free/reduced,none,married,regularly,no,4,school_bus,05-Oct,43,64,57
934,female,group B,associate's degree,free/reduced,none,single,regularly,no,3,school_bus,05-Oct,73,82,82
935,male,group C,some high school,standard,completed,married,regularly,yes,4,school_bus,< 5,86,76,70
936,male,group B,high school,free/reduced,none,married,regularly,yes,3,school_bus,05-Oct,49,44,42
937,male,group A,some high school,standard,none,married,regularly,,,school_bus,05-Oct,75,59,60
938,female,group D,high school,standard,none,married,regularly,yes,3,school_bus,< 5,74,81,78
939,male,group C,bachelor's degree,free/reduced,none,married,sometimes,yes,3,private,< 5,42,43,36
940,female,,some college,standard,none,married,sometimes,no,4,,> 10,82,82,83
941,male,group D,bachelor's degree,standard,none,single,regularly,yes,2,private,05-Oct,55,37,47
942,female,group D,some high school,free/reduced,none,married,sometimes,yes,1,private,< 5,60,73,69
943,male,group E,bachelor's degree,free/reduced,none,married,never,yes,1,private,< 5,67,53,50
944,male,group E,high school,standard,completed,married,regularly,no,3,school_bus,> 10,67,64,63
945,female,group E,associate's degree,standard,none,single,never,yes,3,school_bus,05-Oct,64,68,66
946,male,group E,some high school,standard,none,,sometimes,yes,0,private,05-Oct,73,61,56
947,male,group E,some college,free/reduced,completed,divorced,regularly,no,2,private,05-Oct,82,78,80
948,female,group C,,standard,completed,single,regularly,yes,1,private,05-Oct,78,82,91
949,female,group E,some college,free/reduced,none,married,sometimes,yes,2,school_bus,05-Oct,69,71,61
950,female,group A,bachelor's degree,standard,,single,regularly,yes,,,05-Oct,36,52,51
951,male,,some college,free/reduced,none,married,sometimes,yes,5,private,> 10,50,35,34
952,male,group C,some college,standard,none,married,regularly,no,2,school_bus,05-Oct,65,62,60
953,male,group D,some college,standard,none,married,sometimes,no,3,,05-Oct,94,86,84
954,male,group C,associate's degree,standard,,married,never,yes,1,private,05-Oct,80,78,78
955,male,group C,some high school,standard,completed,single,sometimes,yes,4,school_bus,05-Oct,63,78,73
956,male,group A,some college,standard,completed,married,sometimes,yes,1,school_bus,05-Oct,77,86,84
957,male,group C,some college,standard,completed,married,regularly,yes,5,,05-Oct,50,46,51
958,female,group B,some college,standard,none,single,regularly,yes,1,school_bus,05-Oct,57,73,64
959,male,group D,some high school,standard,completed,divorced,never,yes,3,school_bus,,87,91,86
960,female,group E,bachelor's degree,standard,none,married,sometimes,yes,0,school_bus,< 5,86,98,92
961,female,group C,some high school,standard,completed,divorced,sometimes,yes,3,school_bus,> 10,79,75,82
962,female,group C,high school,standard,none,married,sometimes,yes,2,,05-Oct,87,92,86
963,male,group D,some college,standard,none,married,sometimes,yes,6,,05-Oct,70,68,68
964,female,group C,high school,standard,,single,sometimes,no,1,school_bus,05-Oct,63,74,73
965,male,,some college,standard,none,,sometimes,yes,1,school_bus,< 5,57,44,41
966,female,,high school,standard,completed,single,regularly,yes,0,,< 5,55,72,72
967,female,group D,,free/reduced,completed,married,regularly,yes,1,school_bus,> 10,81,98,100
968,female,group B,some college,standard,none,married,sometimes,yes,1,private,05-Oct,89,92,95
969,female,group B,some college,free/reduced,none,married,,yes,3,,05-Oct,59,75,71
970,male,group B,some college,standard,none,married,regularly,yes,1,school_bus,< 5,68,58,54
971,male,group E,associate's degree,free/reduced,completed,single,sometimes,yes,1,private,05-Oct,74,70,70
972,male,group C,associate's degree,standard,none,married,sometimes,no,2,school_bus,05-Oct,78,84,78
973,male,group D,some high school,standard,,married,sometimes,yes,,private,05-Oct,69,63,66
975,male,group D,associate's degree,standard,none,married,sometimes,yes,2,private,05-Oct,45,34,32
976,male,group B,some college,free/reduced,none,single,never,yes,,school_bus,,19,11,6
977,male,group D,bachelor's degree,standard,none,married,regularly,yes,4,school_bus,05-Oct,91,92,90
978,female,group C,associate's degree,standard,none,married,regularly,yes,1,school_bus,05-Oct,74,91,93
979,female,group E,some college,standard,none,married,sometimes,no,4,school_bus,> 10,67,64,66
980,female,group C,associate's degree,standard,completed,single,never,yes,3,school_bus,05-Oct,78,82,82
981,male,group C,high school,standard,none,married,sometimes,yes,3,private,05-Oct,75,72,57
982,female,group B,associate's degree,free/reduced,completed,single,sometimes,no,4,school_bus,> 10,70,92,91
983,male,group C,some high school,standard,none,married,sometimes,yes,4,private,< 5,56,58,52
984,female,group C,high school,free/reduced,none,single,never,no,1,private,< 5,29,40,37
985,male,group A,,standard,none,divorced,never,yes,0,school_bus,05-Oct,56,59,49
986,male,group C,high school,standard,none,single,never,no,2,private,< 5,70,71,64
987,female,group E,some high school,standard,none,divorced,sometimes,yes,1,private,< 5,89,91,89
988,female,group B,high school,standard,none,married,sometimes,yes,2,school_bus,> 10,59,64,64
989,male,group C,bachelor's degree,standard,none,single,sometimes,yes,6,school_bus,05-Oct,60,60,53
990,female,group C,bachelor's degree,standard,completed,married,sometimes,yes,4,school_bus,05-Oct,64,82,80
991,female,group B,associate's degree,standard,none,single,regularly,yes,1,private,05-Oct,83,88,93
992,male,group C,high school,free/reduced,none,married,sometimes,yes,6,private,05-Oct,62,67,63
993,male,group D,associate's degree,free/reduced,none,married,never,no,1,private,< 5,63,52,52
994,male,group B,some college,free/reduced,none,married,sometimes,yes,1,school_bus,05-Oct,47,55,42
995,female,group E,associate's degree,free/reduced,completed,married,regularly,no,5,school_bus,> 10,62,66,66
996,female,group C,bachelor's degree,standard,completed,married,never,yes,1,private,05-Oct,44,41,44
997,female,group C,some college,standard,none,single,,yes,4,school_bus,05-Oct,57,68,60
998,male,group C,high school,free/reduced,none,married,regularly,no,1,,< 5,71,70,64
999,female,group E,master's degree,standard,none,divorced,sometimes,yes,4,private,,66,58,61
0,female,group A,,free/reduced,none,married,sometimes,yes,2,school_bus,< 5,53,65,64
1,female,group E,associate's degree,free/reduced,none,married,regularly,yes,3,private,< 5,53,71,67
2,male,group B,associate's degree,standard,none,,regularly,yes,3,private,> 10,83,81,80
3,male,group D,,free/reduced,none,single,sometimes,no,1,private,05-Oct,66,65,55
4,male,group C,some high school,free/reduced,none,married,regularly,yes,1,private,< 5,35,44,30
5,male,group E,some high school,standard,none,married,regularly,no,3,school_bus,05-Oct,74,71,60
6,female,group D,associate's degree,standard,none,married,sometimes,yes,0,school_bus,< 5,64,73,70
7,male,group E,high school,free/reduced,completed,divorced,sometimes,no,1,private,< 5,60,61,58
8,male,group A,bachelor's degree,standard,none,married,sometimes,,7,school_bus,,75,83,74
10,female,group C,bachelor's degree,standard,none,single,never,yes,7,school_bus,05-Oct,77,89,87
11,female,group D,bachelor's degree,standard,none,married,sometimes,yes,3,,05-Oct,62,69,69
12,male,group C,some high school,standard,none,married,regularly,no,6,private,< 5,49,46,38
13,female,group A,associate's degree,standard,none,married,regularly,yes,1,private,> 10,86,95,99
14,female,group A,some high school,free/reduced,completed,married,sometimes,yes,4,private,05-Oct,59,71,74
15,female,group B,high school,free/reduced,completed,married,sometimes,yes,5,private,< 5,63,86,79
16,male,group B,some college,standard,completed,single,sometimes,no,4,school_bus,< 5,97,93,89
17,female,group D,high school,standard,completed,married,regularly,no,3,private,< 5,78,91,95
18,female,group C,some college,standard,none,single,regularly,yes,4,school_bus,05-Oct,88,100,97
19,female,group B,associate's degree,standard,none,divorced,sometimes,yes,1,school_bus,05-Oct,61,65,68
20,female,group D,some college,free/reduced,none,married,regularly,yes,0,school_bus,< 5,45,47,55
21,female,group B,,free/reduced,none,married,sometimes,yes,1,private,05-Oct,51,55,61
22,female,group B,some college,free/reduced,completed,divorced,regularly,yes,2,school_bus,05-Oct,72,79,84
23,male,group A,associate's degree,free/reduced,completed,married,sometimes,yes,2,private,05-Oct,51,74,69
24,male,group D,some high school,free/reduced,none,married,sometimes,yes,0,school_bus,> 10,46,32,38
25,male,group D,,standard,completed,divorced,regularly,yes,2,school_bus,> 10,59,64,59
26,female,group D,high school,free/reduced,none,divorced,regularly,yes,1,school_bus,05-Oct,57,64,64
27,female,group E,some college,standard,none,married,sometimes,yes,4,private,,90,100,100
28,female,group E,associate's degree,standard,none,divorced,regularly,yes,0,private,> 10,70,71,75
29,male,group C,associate's degree,standard,none,married,sometimes,yes,3,private,< 5,68,67,66
30,male,group E,high school,free/reduced,none,divorced,regularly,,2,private,05-Oct,94,80,79
31,male,group E,associate's degree,free/reduced,none,married,regularly,yes,2,school_bus,05-Oct,82,73,75
32,male,group C,high school,standard,completed,divorced,sometimes,yes,0,,05-Oct,70,61,63
33,female,group A,some college,standard,completed,married,sometimes,no,3,,> 10,94,100,100
34,female,group C,associate's degree,standard,none,married,sometimes,yes,0,school_bus,< 5,65,73,73
35,female,group E,some college,standard,none,married,sometimes,no,,school_bus,< 5,61,66,66
37,male,group E,bachelor's degree,standard,completed,single,never,no,2,private,,79,59,59
38,male,group C,some college,standard,completed,married,sometimes,no,2,private,> 10,58,60,59
39,male,group A,some college,standard,completed,divorced,sometimes,no,2,school_bus,< 5,67,70,68
40,male,group D,some high school,standard,none,divorced,regularly,yes,1,private,> 10,70,57,61
41,male,group E,high school,standard,none,married,regularly,no,2,private,> 10,96,88,79
42,male,group D,some college,standard,none,married,sometimes,yes,3,school_bus,< 5,61,54,60
43,male,group E,some high school,standard,completed,divorced,regularly,yes,3,school_bus,< 5,82,77,82
44,female,group E,associate's degree,standard,none,married,never,yes,1,private,> 10,64,63,60
45,female,group D,associate's degree,free/reduced,none,married,sometimes,no,2,school_bus,05-Oct,40,43,43
46,male,,some college,standard,,single,sometimes,no,4,private,05-Oct,82,74,73
47,female,group B,high school,standard,none,married,regularly,yes,3,school_bus,> 10,77,79,80
48,male,group D,high school,free/reduced,completed,married,never,no,5,,> 10,65,67,69
49,female,group D,bachelor's degree,free/reduced,none,married,sometimes,yes,2,private,05-Oct,50,54,62
50,female,group D,bachelor's degree,standard,,,sometimes,yes,4,school_bus,05-Oct,92,97,96
51,male,group B,high school,standard,completed,divorced,sometimes,yes,1,school_bus,< 5,66,56,53
52,male,group C,some high school,standard,,married,regularly,yes,2,school_bus,> 10,79,66,73
53,female,group A,some college,standard,none,single,sometimes,yes,3,school_bus,05-Oct,70,75,75
54,female,group A,,standard,none,divorced,regularly,yes,3,private,< 5,68,71,71
55,female,group B,some college,free/reduced,none,married,sometimes,yes,0,school_bus,05-Oct,32,51,53
56,female,group D,associate's degree,standard,none,divorced,regularly,yes,0,school_bus,< 5,68,74,85
57,male,group B,master's degree,free/reduced,completed,married,sometimes,yes,4,school_bus,< 5,55,63,51
58,female,group B,some high school,standard,none,single,sometimes,no,1,school_bus,05-Oct,65,71,66
59,female,group D,associate's degree,free/reduced,none,married,regularly,yes,0,school_bus,< 5,38,50,53
60,male,group C,some high school,free/reduced,completed,married,sometimes,yes,4,private,< 5,41,45,38
61,male,,associate's degree,standard,completed,divorced,sometimes,yes,2,school_bus,05-Oct,86,92,83
62,female,group E,associate's degree,standard,,divorced,regularly,no,3,private,< 5,83,71,73
63,female,group C,some high school,free/reduced,completed,divorced,never,no,4,school_bus,,62,71,73
64,female,group D,some college,free/reduced,none,,regularly,yes,0,school_bus,05-Oct,61,65,68
65,female,group C,bachelor's degree,standard,none,divorced,regularly,yes,1,,> 10,84,90,95
66,female,group C,some college,standard,completed,divorced,sometimes,yes,0,private,> 10,80,85,87
67,male,group B,some high school,standard,none,divorced,sometimes,yes,0,,05-Oct,57,49,44
68,female,group E,high school,free/reduced,completed,married,regularly,yes,2,school_bus,< 5,65,60,66
69,male,group B,high school,standard,completed,married,sometimes,yes,,private,< 5,60,66,60
70,male,group D,master's degree,standard,completed,married,regularly,yes,1,private,05-Oct,100,100,99
71,male,group D,,standard,none,married,regularly,yes,2,private,05-Oct,83,71,78
72,male,,master's degree,standard,none,single,regularly,yes,3,school_bus,> 10,66,61,58
73,male,group B,bachelor's degree,standard,completed,divorced,never,yes,1,private,< 5,85,89,86
74,male,group D,some high school,free/reduced,,married,sometimes,no,3,school_bus,> 10,37,31,28
75,female,group E,high school,standard,none,divorced,sometimes,yes,4,private,05-Oct,94,99,93
76,female,group B,some college,standard,none,divorced,sometimes,no,3,school_bus,05-Oct,72,81,83
77,female,group D,some college,standard,completed,married,never,yes,0,private,< 5,69,76,80
78,male,group A,associate's degree,free/reduced,,single,regularly,no,2,school_bus,< 5,66,68,61
79,male,group E,some high school,standard,none,divorced,sometimes,no,1,school_bus,< 5,83,79,77
80,female,group A,some high school,standard,none,married,sometimes,no,3,school_bus,< 5,70,83,78
81,female,group D,,standard,none,divorced,sometimes,yes,4,school_bus,> 10,62,54,61
82,male,group D,bachelor's degree,standard,none,single,never,yes,2,school_bus,< 5,65,67,67
83,male,group D,associate's degree,free/reduced,none,married,regularly,yes,4,school_bus,05-Oct,61,74,75
84,male,group E,bachelor's degree,standard,none,married,sometimes,yes,1,school_bus,< 5,97,96,91
85,male,group B,associate's degree,standard,completed,single,regularly,yes,1,private,05-Oct,69,58,57
86,male,group C,some high school,standard,none,married,sometimes,yes,0,school_bus,< 5,56,61,54
87,female,group A,some college,standard,,,regularly,no,1,school_bus,> 10,74,79,79
88,female,group E,high school,standard,completed,single,sometimes,no,3,private,> 10,82,92,87
89,male,group C,some college,standard,none,single,sometimes,no,4,school_bus,< 5,84,78,84
90,male,group B,bachelor's degree,standard,none,single,regularly,no,,private,05-Oct,91,82,88
91,male,group A,some college,standard,none,married,sometimes,no,1,school_bus,05-Oct,90,75,77
92,male,group D,high school,standard,none,married,regularly,yes,3,school_bus,> 10,74,66,64
94,male,group D,bachelor's degree,standard,none,married,regularly,yes,1,,< 5,71,62,61
95,female,group D,some college,free/reduced,completed,married,sometimes,yes,1,school_bus,05-Oct,64,63,79
96,female,group B,bachelor's degree,free/reduced,none,divorced,sometimes,yes,3,private,05-Oct,81,87,91
97,male,group B,some college,free/reduced,none,single,sometimes,yes,3,school_bus,05-Oct,77,72,70
98,male,group C,high school,standard,completed,married,sometimes,yes,3,school_bus,< 5,77,77,69
99,male,group C,some college,standard,,married,sometimes,yes,0,private,> 10,62,59,58
100,male,group B,associate's degree,standard,completed,single,sometimes,no,2,private,05-Oct,65,70,61
101,female,group B,associate's degree,standard,completed,divorced,never,yes,1,school_bus,< 5,63,79,79
102,male,group C,some high school,free/reduced,none,married,never,yes,3,school_bus,05-Oct,41,42,34
103,female,group C,some high school,free/reduced,none,married,sometimes,no,3,private,05-Oct,38,51,54
104,female,group C,some college,standard,none,married,sometimes,yes,2,,05-Oct,62,64,61
105,male,group B,some high school,standard,none,married,sometimes,yes,0,school_bus,< 5,88,75,73
106,male,group D,some college,standard,completed,married,sometimes,no,6,school_bus,05-Oct,84,80,84
107,female,group C,some high school,free/reduced,none,married,never,yes,1,private,< 5,44,60,50
108,female,group D,associate's degree,free/reduced,,single,sometimes,yes,1,school_bus,< 5,55,58,62
109,male,group A,some high school,standard,none,single,sometimes,no,3,private,05-Oct,73,60,57
110,female,group C,some high school,free/reduced,completed,married,never,yes,3,school_bus,> 10,51,73,69
112,female,group B,high school,standard,none,single,sometimes,,1,private,< 5,83,83,82
113,female,,bachelor's degree,standard,none,,never,yes,1,private,05-Oct,79,94,88
114,female,group C,some college,free/reduced,completed,single,sometimes,yes,1,private,05-Oct,86,92,97
115,female,group C,some college,standard,,married,regularly,no,2,private,05-Oct,72,76,79
116,male,group C,high school,free/reduced,none,single,sometimes,yes,3,private,05-Oct,60,66,61
117,female,group C,some college,standard,none,divorced,never,no,5,,05-Oct,60,70,72
118,male,,associate's degree,standard,none,single,regularly,,0,school_bus,< 5,83,83,81
119,female,,some high school,standard,completed,,sometimes,yes,3,school_bus,,73,79,80
120,male,group B,some college,standard,none,married,sometimes,yes,2,school_bus,> 10,87,73,68
121,male,group A,bachelor's degree,standard,none,single,regularly,yes,1,private,< 5,69,67,68
122,male,group D,high school,free/reduced,none,married,regularly,yes,3,school_bus,05-Oct,63,65,61
123,male,group C,some college,standard,completed,married,sometimes,yes,3,school_bus,05-Oct,62,57,57
124,male,group B,some high school,standard,none,married,sometimes,no,2,school_bus,05-Oct,76,82,75
125,male,group C,some college,standard,none,widowed,regularly,yes,,school_bus,05-Oct,39,33,37
126,female,,master's degree,standard,completed,single,regularly,no,1,private,05-Oct,48,60,61
127,female,group B,some high school,standard,none,married,sometimes,yes,3,school_bus,< 5,39,54,47
128,male,group B,some college,standard,none,married,regularly,yes,2,school_bus,< 5,61,69,64
129,female,group C,some high school,standard,none,married,sometimes,yes,4,private,05-Oct,45,56,48
130,female,group B,high school,free/reduced,none,single,never,no,2,school_bus,05-Oct,47,56,54
131,female,group C,some college,standard,completed,married,sometimes,yes,2,private,05-Oct,77,89,91
132,female,group E,some college,free/reduced,none,married,regularly,yes,3,school_bus,05-Oct,51,70,64
133,male,group C,some high school,standard,completed,single,sometimes,no,4,private,05-Oct,83,83,82
134,female,group D,master's degree,standard,completed,married,sometimes,yes,4,private,> 10,95,96,100
135,male,group D,high school,standard,none,married,sometimes,no,6,school_bus,05-Oct,60,51,53
136,female,group C,some high school,standard,none,married,regularly,yes,0,school_bus,< 5,70,80,82
137,male,group C,some college,standard,completed,married,sometimes,yes,0,school_bus,> 10,80,81,79
138,male,group E,some high school,free/reduced,none,married,regularly,yes,0,school_bus,05-Oct,56,60,45
139,male,group D,associate's degree,standard,completed,married,never,yes,5,school_bus,> 10,85,71,80
140,female,group D,some college,standard,none,single,sometimes,no,2,private,05-Oct,84,91,94
141,female,group C,,free/reduced,completed,married,regularly,yes,5,school_bus,< 5,64,68,70
142,male,group B,high school,standard,completed,married,regularly,yes,0,private,05-Oct,40,38,34
143,male,group C,some college,standard,completed,married,regularly,yes,2,private,05-Oct,61,61,62
144,female,group C,some college,standard,none,single,regularly,yes,0,school_bus,05-Oct,51,50,53
145,female,group A,some college,free/reduced,none,married,regularly,yes,3,school_bus,< 5,44,62,59
146,male,,some college,standard,completed,married,regularly,yes,3,school_bus,05-Oct,86,88,88
147,male,group B,high school,free/reduced,none,single,sometimes,no,2,private,05-Oct,22,17,17
148,male,group D,high school,standard,none,married,regularly,yes,5,school_bus,< 5,72,74,71
149,male,group D,associate's degree,standard,none,divorced,regularly,yes,3,school_bus,> 10,72,66,60
150,female,group C,high school,standard,none,widowed,never,yes,0,,05-Oct,65,70,72
151,male,group D,bachelor's degree,free/reduced,completed,divorced,regularly,no,2,school_bus,05-Oct,78,89,88
152,female,group E,,free/reduced,completed,single,sometimes,yes,3,school_bus,05-Oct,67,82,75
153,male,group B,bachelor's degree,standard,completed,single,sometimes,yes,2,school_bus,< 5,65,63,68
154,male,group D,bachelor's degree,standard,completed,married,regularly,no,5,private,> 10,72,70,70
155,female,group B,associate's degree,standard,none,married,regularly,no,3,school_bus,> 10,77,79,78
156,male,group D,associate's degree,free/reduced,completed,single,sometimes,yes,,private,,69,81,83
157,female,group C,some college,standard,none,married,sometimes,yes,2,school_bus,05-Oct,68,78,70
158,female,group E,some high school,standard,completed,divorced,regularly,no,2,,05-Oct,73,80,84
159,male,group E,some college,free/reduced,none,married,sometimes,no,2,,05-Oct,58,60,61
160,female,group D,,standard,none,single,,yes,2,,05-Oct,67,75,80
161,female,group E,some high school,standard,none,divorced,sometimes,no,2,school_bus,< 5,71,74,74
162,female,group D,some high school,standard,none,widowed,sometimes,yes,2,school_bus,< 5,76,81,81
164,female,group A,master's degree,standard,none,married,sometimes,yes,1,,05-Oct,58,71,72
165,female,group B,high school,standard,completed,single,sometimes,no,4,school_bus,05-Oct,94,98,94
166,female,group C,master's degree,standard,none,divorced,never,yes,1,private,05-Oct,82,99,96
167,male,group E,some college,standard,none,single,sometimes,yes,4,school_bus,05-Oct,78,67,69
168,male,group A,associate's degree,free/reduced,none,divorced,sometimes,yes,5,school_bus,05-Oct,57,56,54
169,female,group C,some high school,standard,none,married,sometimes,yes,1,school_bus,05-Oct,81,82,84
170,female,group C,some college,free/reduced,,married,sometimes,yes,2,private,,72,89,95
171,female,group B,some high school,free/reduced,completed,single,regularly,yes,4,school_bus,< 5,64,74,78
172,female,group B,some high school,free/reduced,none,married,sometimes,no,3,school_bus,> 10,55,71,61
173,male,group C,master's degree,free/reduced,completed,married,regularly,yes,3,private,05-Oct,67,70,64
174,female,group C,master's degree,standard,,married,sometimes,,0,private,05-Oct,62,68,70
175,female,group B,associate's degree,standard,completed,married,regularly,yes,3,school_bus,< 5,69,63,75
176,female,group B,associate's degree,free/reduced,none,single,regularly,no,2,school_bus,< 5,66,87,84
177,male,group C,some high school,free/reduced,completed,married,never,yes,2,,05-Oct,66,65,59
178,female,,associate's degree,standard,none,single,sometimes,yes,3,school_bus,< 5,85,95,90
179,female,group B,,free/reduced,none,married,sometimes,yes,2,,< 5,39,51,45
180,female,group C,associate's degree,standard,none,single,regularly,yes,1,school_bus,05-Oct,87,93,91
181,female,group C,master's degree,standard,none,married,regularly,yes,2,school_bus,05-Oct,100,100,100
182,male,group C,bachelor's degree,free/reduced,none,married,regularly,yes,,private,05-Oct,51,49,53
184,female,,bachelor's degree,standard,none,married,regularly,yes,1,,< 5,68,87,84
185,male,group A,some college,standard,none,married,sometimes,no,1,private,05-Oct,66,55,51
186,male,group B,some college,free/reduced,none,married,sometimes,yes,1,school_bus,> 10,37,30,29
187,female,group B,some college,free/reduced,completed,married,sometimes,yes,2,school_bus,> 10,64,79,77
188,female,group A,some college,free/reduced,completed,divorced,regularly,yes,,school_bus,< 5,46,57,58
189,female,group A,high school,standard,none,married,regularly,no,4,school_bus,> 10,51,60,59
190,male,group D,high school,free/reduced,completed,single,sometimes,yes,2,private,05-Oct,45,43,39
191,female,group A,high school,standard,none,married,regularly,yes,3,school_bus,> 10,67,85,82
192,female,group D,high school,standard,none,married,never,no,,school_bus,05-Oct,50,77,73
194,male,group E,some college,standard,none,married,regularly,yes,1,school_bus,05-Oct,78,61,57
195,female,group B,high school,standard,none,married,regularly,yes,2,private,< 5,69,74,75
196,male,group B,associate's degree,standard,completed,married,regularly,,2,school_bus,05-Oct,80,78,75
197,male,group E,bachelor's degree,free/reduced,,married,regularly,yes,3,school_bus,05-Oct,66,64,65
198,female,group C,bachelor's degree,standard,completed,single,sometimes,no,1,school_bus,< 5,44,52,57
199,female,group E,master's degree,standard,completed,divorced,regularly,yes,2,private,> 10,100,100,100
200,female,group D,,standard,completed,divorced,never,,1,private,> 10,78,90,88
201,male,group E,high school,standard,completed,divorced,sometimes,yes,3,,05-Oct,86,80,82
202,female,group A,some college,free/reduced,none,married,regularly,yes,0,school_bus,05-Oct,51,58,58
203,male,group C,associate's degree,standard,none,single,regularly,yes,1,private,05-Oct,92,93,86
204,female,group C,,standard,none,married,regularly,yes,1,private,> 10,62,63,69
205,male,,associate's degree,free/reduced,completed,single,sometimes,yes,0,school_bus,05-Oct,74,79,76
206,female,,some college,standard,none,divorced,sometimes,yes,4,private,> 10,69,75,72
207,male,group C,some high school,free/reduced,none,single,sometimes,yes,2,school_bus,< 5,76,67,62
208,female,group B,associate's degree,free/reduced,none,married,sometimes,yes,4,private,05-Oct,57,70,66
209,female,group E,,standard,completed,married,sometimes,yes,7,school_bus,05-Oct,93,100,100
210,female,group B,master's degree,free/reduced,completed,married,sometimes,no,3,school_bus,05-Oct,48,55,59
211,female,group D,some high school,free/reduced,completed,single,regularly,,0,school_bus,05-Oct,51,61,69
212,female,group D,associate's degree,standard,completed,married,never,,3,school_bus,> 10,74,88,87
213,male,group C,bachelor's degree,free/reduced,completed,single,regularly,yes,1,private,05-Oct,67,72,73
214,female,group E,associate's degree,free/reduced,none,married,never,no,1,private,< 5,64,74,72
215,female,group B,high school,free/reduced,completed,single,sometimes,no,1,school_bus,> 10,66,77,75
216,female,group B,associate's degree,standard,completed,married,sometimes,no,3,school_bus,< 5,66,78,78
217,male,group D,associate's degree,free/reduced,none,married,sometimes,yes,1,private,05-Oct,64,66,67
218,female,group B,some college,standard,completed,married,never,yes,4,private,< 5,63,77,77
219,male,group C,high school,standard,completed,divorced,sometimes,yes,2,,< 5,52,49,46
220,female,group B,high school,standard,none,married,sometimes,yes,3,school_bus,05-Oct,66,80,66
221,male,group D,some high school,standard,none,married,regularly,yes,1,school_bus,> 10,57,54,48
222,female,group B,some high school,free/reduced,none,married,never,yes,2,private,05-Oct,60,65,65
223,male,group D,some high school,standard,completed,married,sometimes,no,,,< 5,72,75,75
224,male,group C,bachelor's degree,free/reduced,none,single,sometimes,yes,3,private,< 5,57,45,41
225,male,group E,bachelor's degree,standard,none,married,sometimes,yes,6,school_bus,05-Oct,63,57,53
226,female,group B,associate's degree,standard,completed,married,regularly,yes,0,private,05-Oct,73,82,82
227,female,group B,some college,standard,none,married,never,no,1,school_bus,< 5,63,74,64
228,female,group B,high school,standard,none,married,sometimes,no,2,private,> 10,77,89,84
229,female,group D,associate's degree,standard,completed,married,never,yes,,school_bus,< 5,89,97,95
230,female,group A,associate's degree,free/reduced,none,divorced,regularly,,0,private,> 10,22,43,34
231,male,group A,high school,standard,none,divorced,never,yes,1,private,05-Oct,81,81,72
232,male,group A,some college,standard,none,married,sometimes,no,4,private,< 5,64,66,59
233,female,,some college,standard,,married,regularly,yes,3,school_bus,> 10,84,94,92
235,female,group C,some college,standard,none,married,never,yes,4,,05-Oct,43,51,47
237,male,group C,high school,standard,none,married,sometimes,yes,1,school_bus,05-Oct,67,63,56
238,female,group B,associate's degree,standard,completed,married,sometimes,yes,0,school_bus,> 10,89,98,97
239,female,group D,high school,standard,completed,married,regularly,yes,1,private,> 10,100,99,100
240,female,group E,bachelor's degree,standard,none,married,regularly,yes,0,school_bus,,89,94,97
241,female,group B,high school,free/reduced,none,married,sometimes,yes,3,private,05-Oct,55,67,57
242,female,group E,,standard,none,married,sometimes,yes,,school_bus,< 5,51,53,43
243,female,group D,some high school,standard,none,married,sometimes,no,1,school_bus,05-Oct,86,95,85
244,male,group B,some high school,free/reduced,completed,married,regularly,yes,2,school_bus,> 10,51,56,51
245,male,group B,master's degree,standard,none,married,never,yes,4,private,> 10,50,35,40
246,male,group D,some college,standard,none,married,regularly,no,5,,05-Oct,75,59,66
247,male,group D,master's degree,free/reduced,completed,divorced,sometimes,yes,3,school_bus,,62,54,65
248,female,group D,some college,standard,none,divorced,,yes,0,,< 5,77,76,75
249,male,,some high school,free/reduced,completed,single,sometimes,no,1,school_bus,> 10,44,57,48
250,female,group B,some college,standard,none,married,never,yes,2,school_bus,> 10,33,39,36
252,female,group D,some college,standard,none,married,sometimes,yes,1,private,< 5,57,67,69
253,female,group C,some high school,standard,completed,married,sometimes,no,4,school_bus,< 5,54,70,66
254,male,group E,some high school,free/reduced,none,single,sometimes,yes,4,private,05-Oct,72,58,57
255,female,group B,master's degree,free/reduced,none,single,regularly,no,3,,05-Oct,56,63,64
256,male,group D,associate's degree,standard,,single,regularly,yes,3,,05-Oct,65,52,59
